name,category,address,city,state,country,latitude,longitude,phone,website,rating,review_count,opening_hours,price_level,business_status,maps_url,date_scraped
Light House Cafe,mediterranean;pizza;italian;thai;mexican,"Dr Annie Besant Road, 400018",Mumbai,Maharashtra,INdia,18.9943158,72.81483,+9199674 14148,http://lighthousecafe.co.in/,,,Mo-Su 10:30-01:30,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.9943158&mlon=72.81483&zoom=17,2026-03-15 20:07 UTC
Starbucks,coffee_shop,,Mumbai,Maharashtra,INdia,18.9911985,72.8143127,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.9911985&mlon=72.8143127&zoom=17,2026-03-15 20:07 UTC
Blue bead cafe,coffee_shop,near mithibai,Mumbai,Maharashtra,INdia,18.9770886,72.8308704,,,,,Mo-Su 10:00-22:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.9770886&mlon=72.8308704&zoom=17,2026-03-15 20:07 UTC
Starbucks,coffee_shop,,Mumbai,Maharashtra,INdia,18.9946569,72.8236713,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.9946569&mlon=72.8236713&zoom=17,2026-03-15 20:07 UTC
Cafe Coffee Day,coffee_shop,"108, Dr. R. G. Thadani Marg",Mumbai,Maharashtra,INdia,19.0020823,72.8144272,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0020823&mlon=72.8144272&zoom=17,2026-03-15 20:07 UTC
Barista,coffee_shop,"Byramji Jeejeebhoy Road, 400050",Mumbai,Maharashtra,INdia,19.0475156,72.8200685,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0475156&mlon=72.8200685&zoom=17,2026-03-15 20:07 UTC
The Bandstand Pantry,Cafe,"Byramji Jeejeebhoy Road, 400050",Mumbai,Maharashtra,INdia,19.0474694,72.8200469,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0474694&mlon=72.8200469&zoom=17,2026-03-15 20:07 UTC
Grounded,Cafe,,Mumbai,Maharashtra,INdia,19.0477593,72.8207917,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0477593&mlon=72.8207917&zoom=17,2026-03-15 20:07 UTC
Cafe Coffee Day,coffee_shop,,Mumbai,Maharashtra,INdia,18.9989541,72.8251728,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.9989541&mlon=72.8251728&zoom=17,2026-03-15 20:07 UTC
Starbucks,coffee_shop,,Mumbai,Maharashtra,INdia,19.0047564,72.8260998,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0047564&mlon=72.8260998&zoom=17,2026-03-15 20:07 UTC
Cafe Waah Maratha,Cafe,,Mumbai,Maharashtra,INdia,19.0144176,72.8257335,,,,,Th-Wed 00:00-12:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0144176&mlon=72.8257335&zoom=17,2026-03-15 20:07 UTC
Starbucks,coffee_shop,,Mumbai,Maharashtra,INdia,19.0126947,72.8236034,,,,,Mo-Su 09:00-21:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0126947&mlon=72.8236034&zoom=17,2026-03-15 20:07 UTC
Cafe Colony Restaurant & Stores,Cafe,,Mumbai,Maharashtra,INdia,19.0186376,72.8468361,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0186376&mlon=72.8468361&zoom=17,2026-03-15 20:07 UTC
Cafe Coffee Day,coffee_shop,,Mumbai,Maharashtra,INdia,19.0214663,72.8568552,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0214663&mlon=72.8568552&zoom=17,2026-03-15 20:07 UTC
Starbucks,coffee_shop,,Mumbai,Maharashtra,INdia,19.0252105,72.8359486,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0252105&mlon=72.8359486&zoom=17,2026-03-15 20:07 UTC
Costa,coffee_shop,,Mumbai,Maharashtra,INdia,19.0256439,72.835739,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0256439&mlon=72.835739&zoom=17,2026-03-15 20:07 UTC
cafe trofima,pizza,,Mumbai,Maharashtra,INdia,19.0282957,72.8411776,,,,,Mo-Su 10:00-22:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0282957&mlon=72.8411776&zoom=17,2026-03-15 20:07 UTC
manis cafe,south_indian,"Ranade Road, 400028",Mumbai,Maharashtra,INdia,19.0257013,72.8393226,,,,,Mo-Su 10:00-20:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0257013&mlon=72.8393226&zoom=17,2026-03-15 20:07 UTC
Prakash,Cafe,,Mumbai,Maharashtra,INdia,19.0231855,72.8386864,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0231855&mlon=72.8386864&zoom=17,2026-03-15 20:07 UTC
hotel Udipi Ramdas,south_indian_cuisine,,Mumbai,Maharashtra,INdia,19.0262674,72.8434222,,,,,Mo-Su 06:30-21:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0262674&mlon=72.8434222&zoom=17,2026-03-15 20:07 UTC
Cafe Coffee Day,coffee_shop,,Mumbai,Maharashtra,INdia,19.029206,72.8382235,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.029206&mlon=72.8382235&zoom=17,2026-03-15 20:07 UTC
Barista,coffee_shop,,Mumbai,Maharashtra,INdia,19.0293039,72.8379984,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0293039&mlon=72.8379984&zoom=17,2026-03-15 20:07 UTC
The chocolate heaven,Cafe,,Mumbai,Maharashtra,INdia,19.0316071,72.8386046,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0316071&mlon=72.8386046&zoom=17,2026-03-15 20:07 UTC
Coffee by Di Bella,Cafe,,Mumbai,Maharashtra,INdia,19.0318344,72.8390596,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0318344&mlon=72.8390596&zoom=17,2026-03-15 20:07 UTC
Irani Cafe,Cafe,,Mumbai,Maharashtra,INdia,19.0390227,72.8428163,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0390227&mlon=72.8428163&zoom=17,2026-03-15 20:07 UTC
Third Wave Coffee Roasters,coffee_shop,,Mumbai,Maharashtra,INdia,19.0408811,72.8461003,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=19.0408811&mlon=72.8461003&zoom=17,2026-03-15 20:07 UTC
