name,category,address,city,state,country,latitude,longitude,phone,website,rating,review_count,opening_hours,price_level,business_status,maps_url,date_scraped
Vee cafe,sandwich,,Pune,Maharashtra,INdia,18.4595641,73.7856,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.4595641&mlon=73.7856&zoom=17,2026-03-15 20:07 UTC
Cafe Chocolade,sandwich;coffee_shop;burger,,Pune,Maharashtra,INdia,18.4599021,73.7859788,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.4599021&mlon=73.7859788&zoom=17,2026-03-15 20:07 UTC
Shri Sai Cheesy Cafe,coffee_shop;pizza;burger;indian,"DSK Vishwa Road, 411041",Pune,Maharashtra,INdia,18.4469415,73.8098906,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.4469415&mlon=73.8098906&zoom=17,2026-03-15 20:07 UTC
Radhe Radhe snacks,Cafe,"Uttamnagar road, 411021",Pune,Maharashtra,INdia,18.5222328,73.764454,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5222328&mlon=73.764454&zoom=17,2026-03-15 20:07 UTC
Chai Sutta Premi,Cafe,"Uttamnagar road, 411021",Pune,Maharashtra,INdia,18.5215614,73.7654676,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5215614&mlon=73.7654676&zoom=17,2026-03-15 20:07 UTC
Sarkar special,Cafe,"Uttamnagar road, 411021",Pune,Maharashtra,INdia,18.5203194,73.76666,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5203194&mlon=73.76666&zoom=17,2026-03-15 20:07 UTC
Durga Cafe,Cafe,,Pune,Maharashtra,INdia,18.4967827,73.8022806,,,,,Mo-Su 08:00-23:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.4967827&mlon=73.8022806&zoom=17,2026-03-15 20:07 UTC
Durga Cafe,coffee_shop,"Karve Nagar , Pune, 411052",Pune,Maharashtra,INdia,18.4850121,73.8161195,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.4850121&mlon=73.8161195&zoom=17,2026-03-15 20:07 UTC
Jijai Coffee House,coffee_shop;sandwich,"Shop no 6, Mantri Lavendula, Paud Road",Pune,Maharashtra,INdia,18.5078832,73.7723605,9850982119,,,,24/7,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5078832&mlon=73.7723605&zoom=17,2026-03-15 20:07 UTC
Cafe Coffee Day,coffee_shop,,Pune,Maharashtra,INdia,18.5081327,73.7828202,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5081327&mlon=73.7828202&zoom=17,2026-03-15 20:07 UTC
Cafe Peter,Cafe,,Pune,Maharashtra,INdia,18.5105251,73.7818758,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5105251&mlon=73.7818758&zoom=17,2026-03-15 20:07 UTC
Irani Cafe,Cafe,,Pune,Maharashtra,INdia,18.5079498,73.7830283,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5079498&mlon=73.7830283&zoom=17,2026-03-15 20:07 UTC
Cafe Cofee Day,coffee_shop,,Pune,Maharashtra,INdia,18.5086466,73.789635,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5086466&mlon=73.789635&zoom=17,2026-03-15 20:07 UTC
Cafe Coffee Day,coffee_shop,,Pune,Maharashtra,INdia,18.5081099,73.7884605,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5081099&mlon=73.7884605&zoom=17,2026-03-15 20:07 UTC
Fat Labrador Cafe,pizza;burger;italian;coffee_shop,"bavdhan, DSK Ranwara road",Pune,Maharashtra,INdia,18.520606,73.7761434,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.520606&mlon=73.7761434&zoom=17,2026-03-15 20:07 UTC
Frozen Bottle,milkshake;ice_cream,,Pune,Maharashtra,INdia,18.5231342,73.7802989,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5231342&mlon=73.7802989&zoom=17,2026-03-15 20:07 UTC
Chai Katta,Cafe,,Pune,Maharashtra,INdia,18.5209133,73.7789568,,,,,Mo-Su 09:00-23:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5209133&mlon=73.7789568&zoom=17,2026-03-15 20:07 UTC
fat labradour cafe,coffee_shop;pizza;italian,"bavdhan, DSK Ranwara road",Pune,Maharashtra,INdia,18.5203832,73.7756738,,,,,Mo-Su 10:00am-11:00pm,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5203832&mlon=73.7756738&zoom=17,2026-03-15 20:07 UTC
fat labrador cafe,Cafe,,Pune,Maharashtra,INdia,18.5205538,73.7760285,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5205538&mlon=73.7760285&zoom=17,2026-03-15 20:07 UTC
fat labrador,burger;bavdhan,"bavdhan, DSK Ranwara road, 411021",Pune,Maharashtra,INdia,18.5205843,73.7760821,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5205843&mlon=73.7760821&zoom=17,2026-03-15 20:07 UTC
Goodluck Cafe,Cafe,,Pune,Maharashtra,INdia,18.516814,73.7815622,,,,,Mo-Su 08:00-23:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.516814&mlon=73.7815622&zoom=17,2026-03-15 20:07 UTC
Good Luck Cafe,pizza;coffee_shop;burger;indian;breakfast;tea;juice;brunch;fries;sandwich;chicken,"Shop no.2, Swami, NDA Pashan Rd, 411021",Pune,Maharashtra,INdia,18.516853,73.7815936,091754 46609,https://goodluckcafe.com,,,Mo-Su 07:00-22:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.516853&mlon=73.7815936&zoom=17,2026-03-15 20:07 UTC
The Breakfast Cafe,cafe,,Pune,Maharashtra,INdia,18.5233913,73.7804892,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5233913&mlon=73.7804892&zoom=17,2026-03-15 20:07 UTC
Cafe DuM,Cafe,,Pune,Maharashtra,INdia,18.5232498,73.7807421,,,,,,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5232498&mlon=73.7807421&zoom=17,2026-03-15 20:07 UTC
The Brown Cafe,Cafe,"Shop No 1, Hari Ganga Apts, S, no 49, Gandhi Bhavan Rd, Kothrud, Pune, Maharashtra 411029",Pune,Maharashtra,INdia,18.5009384,73.8048096,,https://thebrowncafe.in/,,,Mo-Su 11:00-22:00,,OPERATIONAL,https://www.openstreetmap.org/?mlat=18.5009384&mlon=73.8048096&zoom=17,2026-03-15 20:07 UTC
